iter	MultiClassOneVsAll
0	0.6834813645
1	0.6743822946
2	0.6658090428
3	0.6577777361
4	0.6501065965
5	0.6429157071
6	0.6360323566
7	0.629524987
8	0.6233696962
9	0.617527348
10	0.6119801394
11	0.6067123119
12	0.6017227779
13	0.5969950525
14	0.5924352116
15	0.5881595452
16	0.584104543
17	0.5805089727
18	0.5767290144
19	0.5732147638
20	0.5697805157
21	0.5670833005
22	0.5639373493
23	0.5609488211
24	0.5581093733
25	0.555409579
26	0.5528448559
27	0.5503643754
28	0.5480284281
29	0.5460808107
30	0.5439336303
31	0.5420138331
32	0.5402132707
33	0.5382523
34	0.5364438174
35	0.5347247339
36	0.5332228015
37	0.5315576536
38	0.5300332853
39	0.5287277345
40	0.5275108906
41	0.5261933915
42	0.5245640182
43	0.5228968822
44	0.5213107885
45	0.5198006505
46	0.5183645662
47	0.5171764838
48	0.5158734365
49	0.514631033
50	0.5134501395
51	0.5124761156
52	0.511551502
53	0.5105170126
54	0.5096789424
55	0.508773675
56	0.5078617072
57	0.5071434534
58	0.5064203918
59	0.5055889706
60	0.5047990501
61	0.5040570693
62	0.5033133686
63	0.5026334597
64	0.501987913
65	0.5013733259
66	0.5007003634
67	0.5001331677
68	0.4995578714
69	0.4990348577
70	0.4985063429
71	0.4980047154
72	0.4975041846
73	0.4970588669
74	0.4964409006
75	0.4959802647
76	0.4955280407
77	0.495002063
78	0.4945659501
79	0.4941787135
80	0.4937505851
81	0.4932986098
82	0.4928892531
83	0.4924815209
84	0.4919608441
85	0.4915493156
86	0.4911597114
87	0.4907809534
88	0.4903622644
89	0.4900124021
90	0.4891871546
91	0.4888459022
92	0.4884821936
93	0.4880799327
94	0.4877425617
95	0.4869773894
96	0.4862572857
97	0.4859304639
98	0.4856322912
99	0.4852805125
100	0.4849770526
101	0.484642399
102	0.4843385086
103	0.4840441773
104	0.4837117973
105	0.4833104345
106	0.4826596179
107	0.4823337582
108	0.4820425365
109	0.4817290696
110	0.4814070249
111	0.4811191847
112	0.4808348886
113	0.4805399994
114	0.4802657289
115	0.479995949
116	0.4797489646
117	0.4794984506
118	0.4792516054
119	0.4790279887
120	0.4787877415
121	0.4785607007
122	0.4783461346
123	0.478153435
124	0.4779025318
125	0.4776765021
126	0.4774616638
127	0.4772460574
128	0.4769080267
129	0.476586157
130	0.4764051181
131	0.4761692728
132	0.4759936385
133	0.4757715149
134	0.4755521298
135	0.4753299203
136	0.4751596573
137	0.4749784009
138	0.4747959847
139	0.4744988011
140	0.4739176923
141	0.4736395189
142	0.4732285926
143	0.4730559679
144	0.4728683774
145	0.4726872306
146	0.4725294137
147	0.4723152249
148	0.4720499473
149	0.4715141652
150	0.4713004183
151	0.4708268876
152	0.4703497894
153	0.4701737875
154	0.470054179
155	0.4696020194
156	0.4694187979
157	0.4692508792
158	0.4691103317
159	0.4688786312
160	0.4687366873
161	0.4685729301
162	0.468243606
163	0.4681349969
164	0.4679482854
165	0.4678278786
166	0.4676734463
167	0.4673631657
168	0.4671896929
169	0.4670573594
170	0.4668378815
171	0.4664677288
172	0.466321859
173	0.4661762016
174	0.4659484416
175	0.4658063472
176	0.4656729005
177	0.4654979902
178	0.46538663
179	0.4651874331
180	0.4650805822
181	0.4648815565
182	0.4647201358
183	0.46457095
184	0.4643774001
185	0.4642550631
186	0.4639841443
187	0.463800243
188	0.4636352351
189	0.4634905707
190	0.4633235979
191	0.4629855056
192	0.4626488543
193	0.4624951315
194	0.4623755178
195	0.4622620176
196	0.462172328
197	0.4620362544
198	0.4619473364
199	0.4618412484
200	0.4617254864
201	0.4615846817
202	0.4614673242
203	0.4613615953
204	0.4612660091
205	0.4609650543
206	0.4608343066
207	0.4607223065
208	0.4606138432
209	0.4604369275
210	0.4603403562
211	0.4601113121
212	0.4599894838
213	0.4598762215
214	0.459781579
215	0.4596911732
216	0.4596066649
217	0.4594863512
218	0.4593810526
219	0.4593004501
220	0.459213526
221	0.4591084085
222	0.4590300329
223	0.4589082884
224	0.4587168778
225	0.4584355844
226	0.4583521421
227	0.4582668793
228	0.4581808499
229	0.4580713978
230	0.4579695479
231	0.4578984442
232	0.4578010589
233	0.4577177323
234	0.4576416766
235	0.45754369
236	0.4574745857
237	0.4573282952
238	0.4572318908
239	0.4569659539
240	0.456766937
241	0.4566798376
242	0.4564928271
243	0.4563759252
244	0.4563137378
245	0.4562237582
246	0.456094396
247	0.4560278024
248	0.4558567651
249	0.4556724786
250	0.4554396896
251	0.455328377
252	0.4552623924
253	0.4551596361
254	0.4549903964
255	0.4548965336
256	0.4548245915
257	0.4547485337
258	0.4546728062
259	0.454570211
260	0.4544327526
261	0.454330952
262	0.4542446529
263	0.4541563345
264	0.4540825964
265	0.453883207
266	0.4537483182
267	0.4536583183
268	0.4536016259
269	0.453523519
270	0.4534479046
271	0.4533891132
272	0.4533256856
273	0.4532642367
274	0.4532267441
275	0.4531680063
276	0.4531088986
277	0.4529667851
